;name
888;WATERLOO
889;WAREGEM
890;WALCOURT
891;VISE
892;VILVOORDE
893;VERVIERS
894;TURNHOUT
895;TUBIZE
896;TOURNAI
897;TORHOUT
898;TONGEREN
899;TIENEN
900;TIELT
901;TESSENDERLO
902;TERVUREN
903;TEMSE
904;STEKENE
905;STABROEK
906;SOUMAGNE
907;SOIGNIES
908;SINT TRUIDEN
909;SINT PIETERS LEEUW
910;SINT NIKLAAS
911;SINT KRUIS
912;SINT KATELIJNE WAVER
913;SINT GILLIS WAAS
914;SINT GENESIUS RODE
915;SERAING
916;SCHOTEN
917;SCHILDE
918;SAINT NICOLAS
919;SAINT GHISLAIN
920;ROTSELAAR
921;RONSE
922;ROESELARE
923;RIXENSART
924;RIEMST
925;RANST
926;QUAREGNON
927;PUURS
928;PUTTE
929;POPERINGE
930;PONT A CELLES
931;PERUWELZ
932;PEER
933;OVERIJSE
934;OUPEYE
935;OUDENAARDE
936;OOSTKAMP
937;OSTEND
938;NIVELLES
939;NINOVE
940;NIJLEN
941;NEERPELT
942;NAMUR
943;MOUSCRON
944;MORTSEL
945;MORLANWELZ MARIEMONT
946;MONS
947;MOL
948;MIDDELKERKE
949;MERELBEKE
950;MENEN
951;MEISE
952;MECHELEN
953;MARCHIENNE AU PONT
954;MARCHE EN FAMENNE
955;MANAGE
956;MALDEGEM
957;MAASMECHELEN
958;MAASEIK
959;LOUVAIN LA NEUVE
960;LOMMEL
961;LOKEREN
962;LOCHRISTI
963;LILLE
964;LIER
965;LIEGE
966;LEUVEN
967;LESSINES
968;LEDE
969;LEBBEKE
970;LANAKEN
971;LA LOUVIERE
972;KORTRIJK
973;KORTENBERG
974;KONTICH
975;KOKSIJDE
976;KNOKKE HEIST
977;KASTERLEE
978;KAPELLEN
979;KALMTHOUT
980;JAMBES
981;IZEGEM
982;IEPER
983;HUY
984;HOUTHALEN
985;HOOGSTRATEN
986;HOBOKEN
987;HEVERLEE
988;HEUSDEN
989;HERZELE
990;HERVE
991;HERSTAL
992;HERENTALS
993;HERENT
994;HELCHTEREN
995;HEIST OP DEN BERG
996;HASSELT
997;HARELBEKE
998;HAMME
999;HALLE
1000;HAALTERT
1001;GRIMBERGEN
1002;GILLY
1003;GERAARDSBERGEN
1004;GENT
1005;GENK
1006;GEMBLOUX
1007;GEEL
1008;FRAMERIES
1009;FLEURUS
1010;FLERON
1011;FLEMALLE HAUTE
1012;EVERGEM
1013;EUPEN
1014;EKEREN
1015;EEKLO
1016;EDEGEM
1017;DUFFEL
1018;DOUR
1019;DILBEEK
1020;DIKSMUIDE
1021;DIEST
1022;DIEPENBEEK
1023;DEURNE
1024;DESTELBERGEN
1025;DENDERMONDE
1026;DENDERLEEUW
1027;DEINZE
1028;COURCELLES
1029;COLFONTAINE
